"Paratransit, Inc.",ITP_ID,NTD ID,Legacy NTD ID,Kate Review,review comments,PTO trips data inclusion,PTO trips data text info,annual ridership,Only aggregate data,Commuter Bus,Demand Response,Demand response- taxi,Bus,Rail,Other,Source,Year,Link,revenue link (if different source than data source),2017 fare revenue total----,Commuter Bus fare revenue,Demand Response fare revenue,Demand response- taxi fare revenue,Bus Rapid Transit Fare revenue,Bus fare revenue,Commuter rail fare revenue,Heavy rail fare revenue,Light Rail fare revenue,Other modes fare revenue,Other Description,STA1,STA2,Contacted,Trillium client,Agency Acronym,Administering entity,Admin Acronym,Reporter Status,Reporter Type,TypeCode,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,Associated Transit Organizations,Agency Notes,Service area density,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,Operates Transit (Y/N),Potential for GTFS static (Y/N),Transit type,Free fare on fixed-route (Y/N),Fares based on route (Y/N),Fares based on zone (Y/N),Flat fares (Y/N),Reduced fare,Reduced fare categories,Category notes,Transfers Allowed (Y/N),Transfer Time,Transfer Fee (Y/N),Transfers notes,Interagency Transfers (Y/N/?),Interagency transfer notes,Pass times/trips,Pass notes,Reservations (Y/N),Group/school trip Discount (Y/N),Ticket/Pass Sales Methods,Payment Accepted,Ticket Media,Electronic fare program,Ticket validation,Bike fee,Cheaper base fare w/ smartcard (Y/N),Reg/Adult Ticket Price Min,Reg/Adult Ticket Price Max,Pass Price Min,Pass Price Max,Fare capping,GTFS,Real-time status,GTFS Service Alerts,# of fixed routes,GTFS fares (Y/N),GTFS+ Fares (Y/N),Operates Paratransit,Paratransit fare URL,Operates Demand Response,Demand Response fare URL,T_Company,T_Background,T_Tags,T_Phone,T_Email,T_URL,T_URL_Other,T_Created,T_Last_Updated,T_Added by,T_Live in Google Maps,T_NTD ID,T_Number of Routes,T_Trillium client,T-Farebox Ratio % - Year,T_OPEX,Source,County,OPM_ID (DRMT),Local Commission,Metropolitan Planning Organization,Regional Transportation Planning Authority,Caltrans District (int),Caltrans District (string),Combined Address,Street Address,City,Zip,Lat,Long
San Luis Obispo Council of Governments,288,90297,,x,"The NTD reports that SLOCOG has 5 Vanpools and they have revenue from those 6,197 annual trips ",1,other=vanpool,"6,197",,,,,,,"6,197",NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90297.pdf,,"$33,427",,,,,,,,,"$33,427",vanpool,San Luis Obispo Area Council of Governments,,,,SLOCOG,San Luis Obispo Council of Governments,SLOCOG,Active,Reduced Reporter,2,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2017,10/31/2017,1114 Marsh Street,,,,,Mix,San Luis Obispo,CA,93401,,9,www.slocog.org,6930,112593426,130,"269,237",447,"San Luis Obispo, CA",,"59,219","2,901",20,,5,5,,,Y,N,vanpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,San Luis Obispo,540007,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,5,05 - San Luis Obispo,"1114 Marsh Street, San Luis Obispo, CA, 93401",1114 Marsh Street,San Luis Obispo,93401,35.281472,-120.658617
County Express,274,9R02-91009,9R02-013,x,,1,,"131,060",,"43,359","59,590",,"28,111",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91009.pdf,,"$161,126","$59,160","$63,773",,,"$38,193",,,,,,Council of San Benito County Governments,,Y,Y,,San Benito County Local Transportation Authority,SBCLTA				,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,"330 Tres Pinos Road, Suite C7",,,,,Rural,Hollister,CA,95023,,9,http://www.sanbenitocountyexpress.org/,,831182279,,,,,,,,,,18,18,,,Y,Y,"busfixedroute, paratransit, demandresponse",,N,Y,N,Y,"age65over, age5-17, age0-4, disabled",age0-4 free,Y,2hr,N,Local only,?,,"10tokens, monthly",,,,"toffice, onboardbus, mobile","cash, check, moneyorder","customcard, mobile",,,,,1.00,2,8,60,,http://data.trilliumtransit.com/gtfs/sanbenitocounty-ca-us/sanbenitocounty-ca-us.zip,4,,,Y,N,Y,http://www.sanbenitocountyexpress.org/fares.html,Y,http://www.sanbenitocountyexpress.org/fares.html,,,,,,,,,,,,,,,,,Trillium contact,San Benito,535001,Council of San Benito County Governments,Association of Monterey Bay Area Governments,Council of San Benito County Governments,5,05 - San Luis Obispo,"330 Tres Pinos Roard, Hollister, CA, 95023",330 Tres Pinos Roard,Hollister,95023,36.840293,-121.395117
Santa Ynez Valley Transit,312,9R02-91028,9R02-039,x,,1,,"38,962",,,"5,801",,"33,161",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91028.pdf,,"$54,535",,"$11,158",,,"$43,377",,,,,,Santa Barbara County Association of Governments,,Y,,SYVT,"Solvang, City of",,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,1644 Oak Street,,,,,Rural,Solvang,CA,93463,,9,http://www.cityofsolvang.com/211/Santa-Ynez-Valley-Transit,,76940600,,,,,,,,,,3,3,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age60over, age0-5, ADAcard",age0-5 free,,,,,,,"1day, monthly, multi-trip",not sure what multi-trip means exactly,,,onboardbus,,,,,,,1.50,1.5,4,42.5,,http://mjcaction.com/MJC_GTFS_Public/syvt_google_transit.zip,4,,,,,Y,http://www.cityofsolvang.com/273/Dial-A-Ride,,,,,,,,,,,,,,,,,,,Trillium contact,Santa Barbara,542012,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"1644 Oak Street, Solvang, CA, 93463",1644 Oak Street,Solvang,93463,34.593593,-120.141483
Guadalupe Flyer,129,9R02-91043,9R02-042,x,,1,,"89,260",,,"1,309",,"87,951",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91043.p,,"$74,927",,"$4,046",,,"$70,881",,,,,,Santa Barbara County Association of Governments,,Y,,,"Guadalupe, City of",,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,918 OBISPO STREET,,,,http://ci.guadalupe.ca.us/wp-content/uploads/2019/04/RFP-Public-Transit-Administration-and-Operations-Final-Approved_4-1-19.pdf,Rural,Guadalupe,CA,93434,,9,https://www.smoothinc.org/guadalupe-flyer.php,,137572322,,,,,,,,,,3,3,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"age60over, age0-5, student, disabled, medicare, ADAcard",age0-5 free,,,,,?,,monthly,,,,onboardbus,cash,customcard,,,,,1.50,1.5,45,45,,https://data.trilliumtransit.com/gtfs/guadalupeflyer-ca-us/guadalupeflyer-ca-us.zip,4,,1,,,,,Y,https://www.smoothinc.org/guadalupe-shuttle.php,Guadalupe Flyer,0,"* Guadalupe Flyer: Santa Maria to Guadalupe (loop commuter) and (every hour on weekends)

* was client from 10/5/18-4/18/18",,smoothinc_@hotmail.com,,,,,,,9R02-91043,1,N,,,Trillium contact,Santa Barbara,542001,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"918 Obispo Street, Guadalupe, CA, 93434",918 Obispo Street,Guadalupe,93434,34.969484,-120.568903
South County Area Transit,388,,,x,South County Area Transit is a subsidiary of San Luis Obispo Regional Transit Authority. The Fixed route bus service of RTA includes the Paso Express and South County Area Transit. It also runs Runabout Paratransit and the Avila Beach Trolley. I'm not sure how it is best to include all of these relationships and entities. ,4,Included in San Luis Obispo Regional Transit Authority data. ,,,,,,,,,,,,,,,,,,,,,,,,San Luis Obispo Area Council of Governments,,O,,SoCo Transit,San Luis Obispo Regional Transit Authority,SLORTA,,,,,,,,,,,,,,,Includes Avila Beach Trolley,Mix,San Luis Obispo,,,,,http://www.slorta.org/about-rta/south-county-transit-sct/,,,,,,,,,,,,,,,,Y,Y,"busfixedroute, demandresponse, paratransit",,N,N,Y,Y,"age65-79, age80over, ADAcard, disabled, medicare, studentk-12, childunder44in","age80over, ADAcard and childunder44in free",,,,,,,"1day, 7day, 31day, 20ride",,,,"onboardbus, online, mobile, vendor",,"customcard, mobile",,,,,1.50,1.5,3,37,,http://app.mecatran.com/urb/ws/feed/c2l0ZT1zbG90cmFuc2l0O2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT0zZTMwMzM1OTRiMTE2NzA0N2IxNjQwNjA0ZjQwMGMzMzdiM2E1MTQ0,2,,,Y,N,Y,http://www.slorta.org/services/runabout-paratransit/,Y,http://www.slorta.org/services/dial-a-ride/,,,,,,,,,,,,,,,,,,San Luis Obispo,540006,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,5,05 - San Luis Obispo,"179 Cross Street, San Luis Obispo, CA, 93401",179 Cross Street,San Luis Obispo,93401,35.2453,-120.670741
Morro Bay Transit,213,,,x,,1,,"41,601",,,,,"41,601",,,State Controller,2017,https://bythenumbers.sco.ca.gov/Raw-Data/Transit-Operators-Raw-Data-for-Fiscal-Years-2003-2/ez7u-5dub,State controller data,"$31,968",,,,,"$31,968",,,,,,San Luis Obispo Area Council of Governments,,Y,,MBT,"Morro Bay, City of",,,,,,,,,,,,,,,,,Rural,Morro Bay,CA,,,,https://www.morro-bay.ca.us/293/Transit,,,,,,,,,,,,,,,,Y,Y,"busfixedroute, demandresponse",,Y,N,N,Y,"age0-5, age65over, disabled",age0-5 free,N,,,,N,,"1day, 11ride",,,,onboardbus,cash,token,,,,,1.00,1.5,3,15,,http://mjcaction.com/MJC_GTFS_Public/morrobay_google_transit.zip,4,,,,,,,Y,https://www.morro-bay.ca.us/293/Transit,,,,,,,,,,,,,,,,,https://www.apta.com/resources/links/unitedstates/Pages/CaliforniaTransitLinks.aspx,San Luis Obispo,540002,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,5,05 - San Luis Obispo,"595 Harbor Street , Morro Bay, CA, 93442",595 Harbor Street,Morro Bay,93442,35.367067,-120.846676
Chumash Casino Shuttle Bus,67,,,x,,6,Tribal shuttle- free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chumash Casino,,,,,,,,,,,,,,,,,Rural,Chumash,CA,,,,https://chumashcasino.com/shuttle-schedule,,,,,,,,,,,,,,,,Y,N,tourbus,,N,N,Y,N,,,N,,,,N,,,,,,"online, phone",,,,,,,25.00,25,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,https://www.apta.com/resources/links/unitedstates/Pages/CaliforniaTransitLinks.aspx,Santa Barbara,,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,,,,,,
Cuyama Valley Transit,88,,,,,8,No Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVT,,,,,,,,,,,,,,,,,only info found https://www.transit.wiki/Cuyama_Transit,Rural,Cuyama,CA,,,,https://www.transit.wiki/Cuyama_Transit,,,,,,,,,,,,,,,,N,N,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.apta.com/resources/links/unitedstates/Pages/CaliforniaTransitLinks.aspx,Santa Barbara,,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,,,,,,
Santa Barbara County Association of Governments,379,,,x,,2,,,,,,,,,,,,,,,,,,,,,,,,,Santa Barbara County Association of Governments,,,,SBCAG,Santa Barbara County Association of Governments,SBCAG,,,,,,,,,,,,,,,,Mix,Santa Barbara,,,,,http://www.sbcag.org/,,,,,,,,,,,,,,,,N,N,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Barbara,542006,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,5,05 - San Luis Obispo,"260 North San Antonio Road, Santa Barbara, CA, 93110",260 North San Antonio Road,Santa Barbara,93110,34.44305,-119.781058
GET Bus,126,90004,9004,x,,1,,"5,219,148",,,"61,148",,"5,158,000",,,GET Bus website,FY 2015/16,https://www.getbus.org/wp-content/uploads/2018/08/Short-Range-Transit-Plan-18-19-through-22-23.pdf,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90004.pdf,"$4,494,391",,"$164,644",,,"$4,329,747",,,,,,Kern Council of Governments,,Y,,GET,Golden Empire Transit District,GET,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,1830 Golden State Avenue,,,,,Urban,Bakersfield,CA,93301,,9,http://www.getbus.org/,1695,75302935,111,"495,019",79,"Bakersfield, CA",,"523,994","3,785",138,85,,85,,,Y,Y,busfixedroute,,Y,N,N,Y,"age65over, age0-5, disabled, medicare",age0-5 is free,N,,,,?,,"1day, 15day, 31day, summeryouth, monthly",summeryouth is for youth during summer months only,,,"onboardbus, mobile, vendor, mail, online, kiosk, phone","cash, card","mobile, customcard, paper",,"visual, magstrip",,,1.55,3.5,3.3,57,,http://eta.getbus.org/rtt/public/utility/gtfs.aspx,1,,,N,N,Y,https://www.getbus.org/fares-and-passes/,N,,,,,,,,,,,,,,,,,,NTD,Kern,615005,Kern Council of Governments,Kern Council of Governments,Kern Council of Governments,6,06 - Fresno,"1830 Golden State Avenue, Bakersfield, CA, 93301",1830 Golden State Avenue,Bakersfield,93301,35.392558,-119.024919
Fresno Area Express,116,90027,9027,x,,1,,"9,822,823",,,"199,948",,"9,622,823",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90027.pdf,,"$7,899,676",,"$259,414",,,"$7,640,262",,,,,,Fresno County Council of Governments,,Y,,FAX,"Fresno, City of",,Active,Full Reporter,6,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,2223 G Street,,,,,Urban,Fresno,CA,93706,1600,9,http://www.fresno.gov/fax/,1649,169204872,133,"515,609",63,"Fresno, CA",,"654,628","3,822",171,89,50,139,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age65over, disabled, medicare, age0-5",age0-5 is free,Y,90min,N,,,,"31day, 10ride",,,,"onboardbus, phone, vendor, station","cash, card",customcard,,magstrip,,,1.25,1.25,11.25,48,,https://gis4u.fresno.gov/downloads/zip/fax_gtfs.zip,1,,,Y,N,Y,https://www.fresno.gov/transportation/fax/handy-ride/,N,,,,,,,,,,,,,,,,,,NTD,Fresno,610003,Fresno Council of Governments,Fresno Council of Governments,Fresno Council of Governments,6,06 - Fresno,"2223 G Street, Fresno, CA, 93706",2223 G Street,Fresno,93706,36.742874,-119.8078
Visalia Transit,361,90091,9091,x,,1,"Report provides two different numbers for 2016 boardings: 1.23 boardings and 1,538,425 (table 5-7) for fixed route.  https://www.visalia.city/civicax/filebank/blobdload.aspx?BlobID=36308","1,472,413",,"17,811","35,994",,"1,418,608",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90091.pdf,,"$1,414,747",,"$141,475",,,"$1,273,272",,,,,,Tulare County Association of Governments,,Y,,Visalia Transit,"Visalia, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,"425 East Oak Avenue, Suite 201",,,,,Urban,Visalia,CA,93291,,9,http://www.visaliatransit.com/,2581,30999866,40,"133,151",162,"Visalia, CA",,"219,454","3,460",63,,39,39,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age65over, disabled, medicare, activemilitary, veteran, age0-6, newrider, ADAcard",newrider discount on first monthly pass. age0-6 is free,N,,,,?,,"1day, 7day, 31day, monthly",,,,"onboardbus, tcenter",,customcard,,magstrip,,,1.75,1.75,3.5,55,,https://visaliatransit.info/GTFS,2,,,N,N,Y,https://www.visalia.city/depts/transportation_services/transit/services_provided/dial_a_ride.asp,,,Visalia Transit,,"hasgtfs, bishoppeak, suspect-gtfs2html, suspect-tripplan, suspect-servalert",,,http://www.visaliatransit.com/,,2016-03-31 18:13:24,2018-02-06 17:34:03,Aaron Antrim,Y,90091,13,N,,,NTD/Trillium contact,Tulare,654006,Tulare County Association of Governments,Tulare County Association of Governments,Tulare County Association of Governments,6,06 - Fresno,"425 East Oak Avenue, Visalia, CA, 93291",425 East Oak Avenue,Visalia,93291,36.331659,-119.288601
Porterville Transit,256,90198,9198,x,,1,"670,000 across fixed route and dial a colt services http://www.ci.porterville.ca.us/depts/PortervilleTransit/documents/DraftSRTP-March2018.pdf","630,900",,,"10,480",,"620,420",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90198.pdf,,"$545,804",,"$20,817",,,"$524,987",,,,,,Tulare County Association of Governments,,Y,,,"Porterville, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,291 North Main Street,,,,,Mix,Porterville,CA,93257,3737,9,http://www.portervilletransit.com/,6260,30969406,49,"75,691",394,"Porterville, CA",,"70,272","3,426",21,,12,12,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age65over, disabled, medicare, age0-5, student","age0-5 free, student for monthly pass only",N,,,,?,,"1day, 31day, monthly",,,,"onboardbus, online, tcenter, mobile","cash, card","customcard, mobile",,,,,1.50,1.5,3,55,,http://demopro.nationalrtap.org/admin/GTFSzipFiles/526/google_transit.zip,2,,,,,Y,http://www.ci.porterville.ca.us/depts/PortervilleTransit/fares.cfm,,,Porterville Transit (City of Porterville),,"hasgtfs, RouteMatch, suspect-swiftly",,richardtree@portervilletransit.com,http://www.ci.porterville.ca.us/depts/PortervilleTransit/,,2014-08-19 15:49:49,2018-11-12 03:30:24,Aaron Antrim,Y,90198,9,N,,,NTD/Trillium contact,Tulare,654003,Tulare County Association of Governments,Tulare County Association of Governments,Tulare County Association of Governments,6,06 - Fresno,"291 North Maine Street, Porterville, CA, 93257",291 North Maine Street,Porterville,93257,36.070992,-119.016663
Madera Area Express,187,90199,9199,x,,1,,"138,663",,,"35,661",,"103,002",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90199.pdf,,"$107,015",,"$22,732",,,"$84,283",,,,,,Madera County Local Transportation Commission,,Y,Y,MAX,"Madera, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,205 West 4th Street,,,,,Mix,Madera,CA,93637,3527,9,https://www.cityofmadera.ca.gov/home/departments/transit/,6264,78772142,16,"64,208",362,"Madera, CA",,"78,413","3,502",22,,16,16,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age60over, ADAcard, medicare, age0-3",age3under free,Y,,N,,,,"monthly, 10ride",10ride for reduced only,,,"onboardbus, cityhall, vendor",cash,customcard,,,,,1.00,1,10,26,,https://data.trilliumtransit.com/gtfs/cityofmadera-ca-us/cityofmadera-ca-us.zip,4,,,,,Y,https://www.cityofmadera.ca.gov/home/departments/transit/#tr-dial-a-ride-dar-1509902,,,Madera Area Express (MAX),,"client-gtfs, suspect-imap, suspect-servalert, suspect-swiftly, ESTA",,,,,2018-01-18 21:48:23,2018-09-11 18:51:20,Seth Churnside,Y,9R02-91005,3,Y,,,NTD/Trillium contact,Madera,620003,Madera County Transportation Commission,Madera County Transportation Commission,Madera County Transportation Commission,6,06 - Fresno,"205 W 4th Street, Madera, CA, 93637",205 W 4th Street,Madera,93637,36.962595,-120.064289
Kings Area Rural Transit,148,90200,9200,x,,1,,"738,148",,,"18,355",,"719,793",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90200.pdf,,"$558,127",,"$35,189",,,"$522,938",,,,,,Kings County Association of Governments,,Y,Y,KART,Kings County Area Public Transit Agency,KCAPTA,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,629 Davis Street,,,,,Rural,Hanford,CA,93230,,9,https://www.kartbus.org/,6259,800223674,13,"70,267",333,"Hanford, CA",,"87,941","3,170",28,,21,21,,,Y,Y,"busfixedroute, paratransit, demandresponse",,Y,N,N,Y,"age0-6, medicare, disabled, age65over, activemilitary, veteran, student",age0-6 free. Discount not available on route 22. student for 30 day pass only,Y,1hr,,,,,"10ride, 1day, 30day",,,,"onboardbus, tcenter, vendor",cash,customcard,,magstrip,,,1.25,1.75,4,50,,http://kart.connexionz.net/rtt/public/utility/gtfs.aspx,2,,,Y,Y,Y,https://www.kartbus.org/paratransit/,Y,https://www.kartbus.org/flex-route/,,,,,,,,,,,,,,,,,NTD,Kings,616003,Kings County Association of Governments,Kings County Association of Governments,Kings County Association of Governments,6,06 - Fresno,"610 West 7th Street, Hanford, CA, 93230",610 West 7th Street,Hanford,93230,36.325594,-119.654023
California Vanpool Authority,53,90230,9230,x,,1,other= vanpool,"2,601,036",,,,,,,"2,601,036",NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90230.pdf,,"$8,499,496",,,,,,,,,"$8,499,496",vanpool,,,,,CalVans,California Vanpool Authority,CalVans,Active,Full Reporter,6,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,1340 North Drive,,,,,Urban,Hanford,CA,93230,,9,http://www.CalVans.org/,5579,78361042,"1,636","5,893,986",333,"Hanford, CA",,"87,941","3,170",28,552,,552,,,Y,N,vanpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Kings,,Kings County Association of Governments,Kings County Association of Governments,Kings County Association of Governments,6,06 - Fresno,,,,,,
Delano Area Rapid Transit,91,90238,9238,x,,1,,"118,386",,"2,468","14,502",,"101,416",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90238.pdf,,"$132,182","$7,810","$47,203",,,"$77,169",,,,,,Kern Council of Governments,,Y,,DART,"Delano, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,1015 Eleventh Avenue,,3010,,,Rural,Delano,CA,93216,,9,https://www.cityofdelano.org/92/Delano-Area-Rapid-Transit-DART,7236,101560832,50,"53,041",471,"Delano, CA",,"54,372","5,483",10,9,,9,,,Y,Y,"busfixedroute, demandresonse",,N,N,Y,Y,"age62over, ADAcard, medicare, age0-5, attendant",age0-5 and attendant are free,Y,30min,N,,N,,"10ride, monthly, 1day",,,,"onboardbus, tstation, cityhall, vendor, mail",cash,customcard,,,,,1.50,1.5,15,40,,https://data.trilliumtransit.com/gtfs/delano-ca-us/delano-ca-us.zip,4,,4,,,,,Y,https://www.cityofdelano.org/277/Fares-Tickets-Passes-Transfers,,,,,,,,,,,,,,,,,NTD,Kern,615004,Kern Council of Governments,Kern Council of Governments,Kern Council of Governments,6,06 - Fresno,"1120 Glenwood Street, Delano, CA, 93216",1120 Glenwood Street,Delano,93216,35.770899,-119.248
Tulare InterModal Express,345,90244,9244,x,,1,,"338,086",,,"19,921",,"318,165",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90244.pdf,,"$313,858",,"$45,131",,,"$268,727",,,,,,Tulare County Association of Governments,,Y,,TIME,"Tulare, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,411 East Kern Ave,,,,,Mix,Tulare,CA,93274,,9,http://www.ci.tulare.ca.us/local_government/departments/administrative_services/transit.htm/,2581,20018339,21,"63,515",162,"Visalia, CA",,"219,454","3,460",63,,10,10,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age65over, medicare, ADAcard, age0-5, attendant, student ",age0-5 and attendants are free. student for monthly pass only,Y,,,,Y,No transfers will be provided between TIME buses and Visalia Transit (VT) buses on Route 11X. Transfers are accepted to / from TCaT Routes 20 and 40,"20ride, monthly",,,,onboardbus,cash,,,,,,1.50,1.5,30,40,,,2,,,Y,N,,,Y,https://www.tulare.ca.gov/departments/finance/transit,,,,,,,,,,,,,,,,,NTD,Tulare,654004,Tulare County Association of Governments,Tulare County Association of Governments,Tulare County Association of Governments,6,06 - Fresno,"411 East Kern Avenue, Tulare, CA, 93274",411 East Kern Avenue,Tulare,93274,36.206924,-119.342636
